2017-09-15 11:30:40:894;	-0.002240751435981095;	-0.00331133250125473;	-0.002111830000000004;	0.002033691406250003;	-0.0008603515625000002;	0.99750830078125
2017-09-15 11:30:41:025;	0.0030576321333681293;	-0.0007605576308469559;	-0.0048245830769230846;	-0.000895996093749997;	0.0042666015625;	0.99750830078125
2017-09-15 11:30:41:118;	0.006019975894436525;	0.00008906741322805981;	-0.007746243076923094;	-0.001140136718749997;	-0.00012792968750000022;	0.99994970703125
2017-09-15 11:30:41:176;	0.0028335747404823275;	-0.024131303922913343;	-0.010785255384615418;	-0.000651855468749997;	-0.0011044921875000002;	1.00287939453125
2017-09-15 11:30:41:234;	-0.0035155799371306045;	-0.018286203057484234;	-0.005912113846153896;	0.002277832031250003;	0.0015810546874999998;	0.99824072265625
2017-09-15 11:30:41:292;	-0.00606405122798777;	-0.020061816538969057;	-0.003843280000000067;	-0.000895996093749997;	0.0006044921874999998;	1.00336767578125
2017-09-15 11:30:41:353;	-0.025824947724840175;	-0.005117402333076339;	-0.0028761384615385464;	-0.006511230468749997;	-0.0006162109375000002;	1.00068212890625
2017-09-15 11:30:41:411;	-0.042594796553268616;	-0.01390903711675383;	-0.003611612307692411;	0.003498535156250003;	-0.0081845703125;	0.99555517578125
2017-09-15 11:30:41:472;	-0.04192990196005006;	-0.02951252199832308;	-0.004246932307692428;	-0.000895996093749997;	-0.0023251953125000002;	1.00361181640625
2017-09-15 11:30:41:530;	-0.037031548605565796;	-0.028614587456351183;	-0.0030794830769232144;	-0.001384277343749997;	0.0023134765624999998;	1.00287939453125
2017-09-15 11:30:41:588;	-0.033662777790346876;	0.003478852239012496;	-0.0014112646153847713;	-0.006755371093749997;	0.0032900390624999998;	0.99946142578125
2017-09-15 11:30:41:646;	-0.019294939857225184;	-0.0026274659342259686;	0.0015589538461536713;	-0.004558105468749997;	0.0010927734374999998;	0.99531103515625
2017-09-15 11:30:41:706;	-0.023160026080786406;	-0.010293129447325874;	0.005831172307692114;	0.002277832031250003;	-0.0006162109375000002;	0.98896337890625
2017-09-15 11:30:41:765;	-0.030571661788327043;	0.008285035858916368;	0.006598006153845941;	0.001057128906250003;	-0.00012792968750000022;	1.00458837890625
